,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
0,6541.0,"{""prolific_id"":""571b79495d40840009c448fe""}",survey-html-form,0,6545,0.0-0.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,,,,,,,,,,
1,6697.0, ,html-keyboard-response,1,13245,0.0-1.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,"
    <p>Please complete the experiment in a quiet place.
      We highly recommend using headphones.</p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
2,2797.0, ,html-keyboard-response,2,16042,0.0-2.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,"
    <p>A series of soundchecks will now be played to help you adjust the volume
      to a comfortable level. </p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
3,7275.0,0,audio-button-response,3,23695,0.0-3.0-0.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,grammatical_1.mp3,,,,,,,,,
4,4811.0,1,audio-button-response,4,28510,0.0-3.1-0.1,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,grammatical_1.mp3,,,,,,,,,
5,8384.0, ,html-keyboard-response,5,36895,0.0-4.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,"<p width = 300 px>
    You will now hear two melodies in succession. 
    The notes in each melody are the same, but there is an accent on one note for one of the melodies. 
    <b>Listen for which melody has the accent.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
6,4205.0, ,html-keyboard-response,6,41101,0.0-5.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,"<p width = 300 px>
    <b>You must score at least 2/3 to proceed with the experiment.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
7,7979.0,1,audio-button-response,7,49227,0.0-6.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,fc_accents_32_1.mp3,soundcheck,True,,,,,,,
8,3804.0, ,html-keyboard-response,8,53033,0.0-7.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
9,7072.0,1,audio-button-response,9,60249,0.0-8.0,11,tonic C5,2024-05-31 14:16:45,69c1fe8e8766760338ed5ecbe911aaa3,82.31.246.252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wrywed,fc_accents_56_4.mp3,soundcheck,True,,,,,,,
