rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
979, ,html-keyboard-response,11,77812,0.0-11.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
13855, ,html-keyboard-response,12,91668,0.0-12.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"If you got <b>less than 2/3</b> of the previous soundcheck questions correct, <b>we unfortunately cannot use your data or pay you</b>. Please exit the experiment now.
    
    <p>If you got <b>more than 2/3</b> correct, press the space bar to continue</p>.",,,,,,,,,
3391, ,html-keyboard-response,13,95060,0.0-13.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"<p>Please listen carefully to the following set of melodies. 
      You will occassionally be asked some basic questions about some of the melodies to check your attention level. </p>
    <p><b>Press the space bar to continue.</b></p>",,,,,,,,,
4432, ,html-keyboard-response,14,99493,0.0-14.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"<p>The attention questions vary in difficulty, but you must get at least some questions correct for us to pay you.</p>
    <p><b>Press the space bar to continue.</b></p>",,,,,,,,,
2127, ,html-keyboard-response,15,101620,0.0-15.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"
    This part of the experiment should take <b>15-20 minutes</b>. 
    <p><b>Press the space bar to begin.</b></p>",,,,,,,,,
null,null,audio-keyboard-response,16,124910,0.0-16.0-0.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_18.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,17,149304,0.0-16.0-1.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_6.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,18,174368,0.0-16.0-2.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_19.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,19,198710,0.0-16.0-3.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_29.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,20,221923,0.0-16.0-4.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_11.mp3""]",exposure,,exp_noresponse,,,,,,
13349,1,audio-button-response,21,236516,0.0-16.0-5.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,attn_length_hard_1.mp3,exposure,true,attncheck,,,,,,
null,null,audio-keyboard-response,22,259811,0.0-16.0-6.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_2.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,23,284489,0.0-16.0-7.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_33.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,24,307730,0.0-16.0-8.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_27.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,25,330732,0.0-16.0-9.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_29.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,26,355072,0.0-16.0-10.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_40.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,27,379416,0.0-16.0-11.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_8.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,28,402427,0.0-16.0-12.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_19.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,29,426799,0.0-16.0-13.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_10.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,30,449803,0.0-16.0-14.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_33.mp3""]",exposure,,exp_noresponse,,,,,,
10411,1,audio-button-response,31,460358,0.0-16.0-15.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,attn_length_int_1.mp3,exposure,true,attncheck,,,,,,
null,null,audio-keyboard-response,32,484729,0.0-16.0-16.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_38.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,33,507739,0.0-16.0-17.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_38.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,34,533098,0.0-16.0-18.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_43.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,35,557540,0.0-16.0-19.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_42.mp3""]",exposure,,exp_noresponse,,,,,,
10800,5,audio-slider-response,36,569374,0.0-16.0-20.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""grammatical_2.mp3""]",exposure,,exp_liking,4,,,,,
null,null,audio-keyboard-response,37,593705,0.0-16.0-21.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_5.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,38,616915,0.0-16.0-22.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_16.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,39,639930,0.0-16.0-23.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_42.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,40,664313,0.0-16.0-24.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_44.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,41,688668,0.0-16.0-25.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_36.mp3""]",exposure,,exp_noresponse,,,,,,
11200,1,audio-button-response,42,699976,0.0-16.0-26.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,attn_length_easy_1.mp3,exposure,true,attncheck,,,,,,
null,null,audio-keyboard-response,43,723186,0.0-16.0-27.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_20.mp3""]",exposure,,exp_noresponse,,,,,,
12611,1,audio-button-response,44,735800,0.0-16.0-28.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,attn_length_hard_1.mp3,exposure,true,attncheck,,,,,,
null,null,audio-keyboard-response,45,758810,0.0-16.0-29.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_33.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,46,782014,0.0-16.0-30.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_23.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,47,805028,0.0-16.0-31.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_33.mp3""]",exposure,,exp_noresponse,,,,,,
9251,1,audio-button-response,48,814282,0.0-16.0-32.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,attn_length_easy_1.mp3,exposure,true,attncheck,,,,,,
null,null,audio-keyboard-response,49,837502,0.0-16.0-33.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_35.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,50,860507,0.0-16.0-34.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_29.mp3""]",exposure,,exp_noresponse,,,,,,
null,null,audio-keyboard-response,51,886429,0.0-16.0-35.0,18,tonic E5,2024-06-02 16:07:12,ecb3e64ed8cd71acc3b73d1b8ab0c1b0,45.19.163.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",xk6t6z,"[""exposure_4s_1.mp3""]",exposure,,exp_noresponse,,,,,,
